,Symbol,LTP,% Change,Open,High,Low,Qty.
855,SCBD,"1,120.00",0.09,"1,120.00","1,120.00","1,120.00",15
856,SEF,9.87,-0.9,9.87,9.78,9.80,"5,800"
857,SFCL,740.00,-2.52,774.20,737.20,774.20,"77,447"
858,SFEF,9.40,-1.26,9.40,9.37,9.37,400
859,SFMF,10.39,-1.42,10.39,10.38,10.38,"1,600"
860,SGHC,465.00,-2.11,477.00,462.20,477.00,"52,924"
861,SGIC,701.00,-1.54,713.00,700.00,707.10,"63,236"
862,SHEL,257.10,-2.58,264.00,257.00,263.00,"177,529"
863,SHINE,468.90,-2.31,480.00,468.20,472.00,"61,479"
864,SHIVM,569.00,-0.7,580.00,565.00,573.20,"92,347"
865,SHL,505.10,-3.29,520.90,494.90,516.00,"68,151"
866,SHLB,"2,490.00",-0.36,"2,520.00","2,450.10","2,509.00","2,816"
867,SHPC,552.00,-2.97,580.00,550.00,557.60,"158,111"
868,SICL,819.80,-2.29,838.00,818.00,834.00,"14,409"
869,SIFC,651.00,-2.3,671.00,650.10,660.00,"48,652"
870,SIGS2,9.83,-1.5,10.00,9.79,9.79,"11,400"
871,SIGS3,10.04,2.45,10.07,9.71,9.71,"66,500"
872,SIKLES,798.90,-2.1,815.00,785.00,815.00,"16,336"
873,SINDU,970.00,-1.02,995.00,965.00,966.00,"37,559"
874,SJCL,377.50,0.13,380.30,369.60,369.60,"53,276"
875,SJLIC,509.00,0.59,516.10,506.40,516.10,"128,705"
876,SKBBL,933.20,-1.14,945.00,932.30,935.60,"11,486"
877,SLBBL,979.00,0.94,979.00,959.00,959.00,"12,862"
878,SLBSL,"1,905.00",5.83,"1,908.00","1,690.00","1,764.00","10,178"
879,SLCF,9.85,0.41,9.90,9.78,9.79,"24,410"
880,SMATA,884.00,-0.67,891.00,876.10,890.00,"3,233"
881,SMB,"2,850.00",-8.37,"3,048.20","2,805.10","3,048.20","4,467"
882,SMFBS,"2,205.00",-4.93,"2,386.00","2,205.00","2,295.00","17,708"
883,SMH,"1,084.00",-0.27,"1,119.00","1,065.20","1,108.00","2,610"
884,SMHL,"1,149.00",9.95,"1,149.00","1,027.00","1,065.90","53,891"
885,SMJC,558.90,-0.9,570.20,553.00,564.00,"23,301"
886,SMPDA,"1,032.00",-3.55,"1,091.00","1,025.00","1,048.60","21,633"
887,SNLI,660.00,-0.47,676.30,655.20,676.30,"73,333"
888,SONA,466.00,-1.56,482.00,466.00,482.00,"40,102"
